2025-03-19 00:17:52 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:17:52 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:18:16 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:18:16 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:19:48 [INFO]: Cached train 16562 - Status: COMPLETED, Delay: 3 min, Coordinates: (38.707436, -9.173238), TTL: 76740s
2025-03-19 00:19:48 [INFO]: Cached train 180 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 19200s
2025-03-19 00:19:48 [INFO]: Cached train 16564 - Status: COMPLETED, Delay: N/A min, Coordinates: (38.707436, -9.173238), TTL: 78540s
2025-03-19 00:19:48 [INFO]: Cached train 182 - Status: COMPLETED, Delay: 16 min, Coordinates: (41.147350427114134, -8.584872978133873), TTL: 24000s
2025-03-19 00:19:48 [INFO]: Cached train 16566 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 82140s
2025-03-19 00:19:49 [INFO]: Cached train 184 - Status: COMPLETED, Delay: 24 min, Coordinates: (37.02011902397774, -7.941299646808012), TTL: 51600s
2025-03-19 00:19:49 [INFO]: Cached train 186 - Status: COMPLETED, Delay: 11 min, Coordinates: (41.14872, -8.584835), TTL: 56400s
2025-03-19 00:19:49 [INFO]: Cached train 16800 - Status: AT_ORIGIN, Delay: N/A min, Coordinates: (40.224716, -8.440501), TTL: 480s
2025-03-19 00:19:49 [INFO]: Cached train 16801 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 20280s
2025-03-19 00:19:49 [INFO]: Cached train 16802 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 18780s
2025-03-19 00:19:49 [INFO]: Cached train 16803 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 22260s
2025-03-19 00:19:50 [INFO]: Cached train 16804 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 24060s
2025-03-19 00:19:50 [INFO]: Cached train 16805 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 23700s
2025-03-19 00:19:50 [INFO]: Cached train 16806 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 28020s
2025-03-19 00:19:50 [INFO]: Cached train 16807 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 26160s
2025-03-19 00:19:50 [INFO]: Cached train 16808 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 31320s
2025-03-19 00:19:50 [INFO]: Cached train 16809 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 31080s
2025-03-19 00:19:51 [INFO]: Cached train 16810 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 35220s
2025-03-19 00:19:51 [INFO]: Cached train 16811 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 34680s
2025-03-19 00:19:51 [INFO]: Cached train 16812 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 42420s
2025-03-19 00:19:51 [INFO]: Cached train 16813 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 38280s
2025-03-19 00:19:51 [INFO]: Cached train 16814 - Status: COMPLETED, Delay: 2 min, Coordinates: (40.148413690133495, -8.846127085904794), TTL: 46020s
2025-03-19 00:19:51 [INFO]: Processed 100 of 1375 trains
2025-03-19 00:19:51 [INFO]: Cached train 16815 - Status: COMPLETED, Delay: -2 min, Coordinates: (40.224716, -8.440501), TTL: 41880s
2025-03-19 00:19:52 [INFO]: Cached train 16816 - Status: COMPLETED, Delay: 3 min, Coordinates: (40.1483327, -8.8461439), TTL: 49620s
2025-03-19 00:19:52 [INFO]: Cached train 16817 - Status: COMPLETED, Delay: 11 min, Coordinates: (40.224716, -8.440501), TTL: 45360s
